s,C, C, m, Pa, 1 / m, 1 / m, kW, m, m, m ^ 2, m ^ 2,
Time,ULT_1,LLT_1,HGT_1,PRS_1,ULOD_1,LLOD_1,HRR_1,FLHGT_1,FBASE_1,FAREA_1,HVENT_1,
1020,1162.41604422038,1041.67021173784,0.362985852201357,-5.92925872200302,7.19073438644409,1.22499203681946,2531.34718063956,3.36910137432758,0.3,2.25,1.52,
1040,1164.0488437745,1043.36496300496,0.362994355613389,-5.93322762840241,7.14552068710327,1.21646165847778,2533.056509995,3.370559700332,0.3,2.25,1.52,
1060,1165.62091693467,1044.97794233191,0.362992084825761,-5.93597146482727,7.1012978553772,1.20745766162872,2534.02678416625,3.37138723366869,0.3,2.25,1.52,
1080,1167.11943381026,1046.65219161847,0.362983294638553,-5.93829525210213,7.07902336120605,1.20261633396149,2534.6605740686,3.37192768160787,0.3,2.25,1.52,
1100,1173.7329440352,1042.85654244371,0.364824587611293,-6.10274408357551,5.5138373374939,0.974549233913422,2650.06261438243,3.46901408788951,0.3,2.25,1.52,
1120,1176.63206845039,1041.35281522283,0.36488271841208,-6.11386730000283,5.16088247299194,0.903982102870941,2653.79715200998,3.47211313019787,0.3,2.25,1.52,
1140,1177.22638618355,1041.50738114084,0.364964972936416,-6.12185663956597,5.07412004470825,0.889533579349518,2658.44585359492,3.47596712223055,0.3,2.25,1.52,
1160,1178.81058544451,1042.69718301551,0.365060178232068,-6.13286853028026,4.97041177749634,0.871675431728363,2665.37896255354,3.48170749030694,0.3,2.25,1.52,
1180,1180.63158440444,1043.55252665893,0.365136148424722,-6.14327281428128,4.86182498931885,0.853021204471588,2672.42768716055,3.4875344070421,0.3,2.25,1.52,
1200,1182.30132160131,1044.59420735032,0.365183739418522,-6.15025238615702,4.78909826278687,0.839967310428619,2676.35431319285,3.49077640316603,0.3,2.25,1.52,
1220,1184.01915576979,1045.44904431131,0.365270490723653,-6.1602578884464,4.69462251663208,0.823936939239502,2682.65196676405,3.49597007080492,0.3,2.25,1.52,
1240,1185.73323895123,1046.12677031704,0.365363229000149,-6.17066190412456,4.59233140945435,0.806471705436707,2689.21309860657,3.5013732536237,0.3,2.25,1.52,
1260,1187.33141517806,1046.92555040816,0.365416067331103,-6.17761482790267,4.5157265663147,0.792677164077759,2693.35052325689,3.50477641455257,0.3,2.25,1.52,
1280,1188.93634579992,1047.72276781257,0.365492986844285,-6.18660636688799,4.43538331985474,0.779032468795776,2698.99660213721,3.50941543368369,0.3,2.25,1.52,
1300,1190.62078507116,1048.32129613055,0.365570844055027,-6.19679406220815,4.339928150177,0.762768924236298,2705.99697079966,3.51515910752796,0.3,2.25,1.52,
1320,1192.20239607966,1048.82123272422,0.365645203678629,-6.20511684146558,4.25217151641846,0.747286140918732,2711.28524303841,3.5194921290398,0.3,2.25,1.52,
1340,1193.70209430426,1049.56256013467,0.365707713264466,-6.21273506500567,4.18567657470703,0.735789716243744,2715.95277517556,3.52331232726202,0.3,2.25,1.52,
1360,1195.23956597176,1050.0341152555,0.365796751175956,-6.22226710669393,4.10106134414673,0.721407234668732,2722.14637689205,3.52837547899338,0.3,2.25,1.52,
1380,1196.83417768632,1050.37984527067,0.365878375505458,-6.23235073648967,4.00977230072021,0.705819666385651,2729.22163460195,3.53415091705267,0.3,2.25,1.52,
1400,1198.281052026,1050.8691305028,0.36593538073425,-6.23903010775009,3.94243240356445,0.693742632865906,2733.36683284383,3.53753041437126,0.3,2.25,1.52,
1420,1199.72892964328,1051.33240810309,0.366014754230267,-6.24751589099023,3.87124633789063,0.681594848632813,2738.86148065669,3.54200535478375,0.3,2.25,1.52,
1440,1201.23299061696,1051.57375032069,0.366082943176983,-6.25671584184435,3.78866529464722,0.667502701282501,2744.59633968329,3.54667018637244,0.3,2.25,1.52,
1460,1202.69375590167,1051.72724420911,0.366179875277393,-6.26561829653765,3.70857357978821,0.653489232063293,2751.33807706188,3.55214655736426,0.3,2.25,1.52,
1480,1204.05429498293,1052.13795422923,0.366245878910573,-6.2728246387217,3.64873504638672,0.643068611621857,2755.87921068499,3.55583082229586,0.3,2.25,1.52,
1500,1205.49556515553,1052.37805786577,0.366320032729521,-6.28164784223365,3.57700729370117,0.630801737308502,2762.16817341503,3.56092710729426,0.3,2.25,1.52,
1520,1206.89862261146,1052.3759391717,0.366421790127984,-6.29111855196371,3.498774766922,0.617412924766541,2768.50321439167,3.56605369813762,0.3,2.25,1.52,
1540,1209.00996212196,1038.25290825237,0.366478455316811,-6.2880024303494,2.74526357650757,0.490677654743195,2773.78163546208,3.57031985323298,0.3,2.25,1.52,
1560,1210.45149012011,1037.62761640846,0.366528253399755,-6.29584662266575,2.69092512130737,0.48042768239975,2778.03455466209,3.57375362935363,0.3,2.25,1.52,
1580,1211.86474989165,1038.05409856775,0.366606167658596,-6.30469730704383,2.65829682350159,0.474662572145462,2783.53013917375,3.57818605657776,0.3,2.25,1.52,
1600,1213.21890361614,1039.35319699122,0.366719141263906,-6.31535669171,2.62422657012939,0.468332767486572,2790.96179831071,3.58417166885214,0.3,2.25,1.52,
1620,1214.5231790206,1039.79375526817,0.366764452804969,-6.32199119089205,2.59663581848145,0.463242590427399,2794.73939067266,3.58721055447826,0.3,2.25,1.52,
1640,1215.48060038996,1039.88071720342,0.367185432952512,-6.32691353463076,2.56874203681946,0.458576589822769,2816.77881045016,3.60489123000776,0.3,2.25,1.52,
1660,1216.38179068692,1039.79982141605,0.36783008213408,-6.33546648408448,2.53505754470825,0.45206755399704,2775.206324796,3.57147048870653,0.3,2.25,1.52,
1680,1211.98660421879,1034.34357725448,0.369669052522218,-6.34415689587014,2.50248575210571,0.447306156158447,2732.63987130157,3.53693795961192,0.3,2.25,1.52,
1700,1207.29798927272,1028.55111616859,0.37103178552622,-6.34788180448388,2.47959399223328,0.444446861743927,2701.53208442593,3.51149678159305,0.3,2.25,1.52,
1720,1201.46951792576,1021.55276487474,0.372767907381467,-6.35241308777369,2.45507383346558,0.441674619913101,2663.62228375018,3.4802538708533,0.3,2.25,1.52,
1740,1194.59412058961,1013.27437450337,0.374736346263276,-6.35696988673214,2.42837500572205,0.438768923282623,2622.6187449765,3.44615945963871,0.3,2.25,1.52,
1760,1186.97780683768,1004.0796865594,0.376835956120055,-6.36108165856459,2.4009108543396,0.435867011547089,2581.58764841595,3.41172045530798,0.3,2.25,1.52,
1780,1180.34486741369,996.011133654485,0.378497281667721,-6.36384558314294,2.38045859336853,0.433992505073547,2550.05600030934,3.38503090530592,0.3,2.25,1.52,
