"BRANZ Mat 3, 13 mm michelo angelo ceiling panel (FR)"
"Number of HRR Curves", 1
"Heat Flux",35
"Number of HRR Data Pairs",804
"sec,kw/m2"
1048.62,19.11
1050.96,19.31
1052.53,18.73
1054.40,18.26
1056.28,18.40
1058.15,19.16
1060.03,18.97
1061.90,18.08
1064.09,18.17
1066.67,17.73
1069.40,18.54
1071.59,19.06
1073.15,18.86
1075.03,18.49
1076.90,18.28
1078.78,18.58
1080.65,18.53
1082.53,18.84
1084.40,18.14
1086.59,17.98
1088.15,18.96
1090.03,18.93
1091.90,18.68
1094.09,18.12
1096.67,17.89
1099.71,18.94
1102.53,18.82
1104.40,18.84
1105.03,18.16
1107.21,17.50
1108.78,18.60
1110.65,18.89
1112.53,18.16
1114.40,17.48
1116.28,18.44
1118.46,18.90
1120.03,18.87
1121.90,17.83
1123.78,17.82
1126.63,19.01
1129.40,18.79
1131.28,18.89
1133.46,18.81
1135.03,17.91
1136.90,19.04
1138.78,19.02
1140.65,18.56
1142.53,18.71
1144.71,18.81
1146.28,18.87
1148.15,18.87
1150.03,18.07
1151.90,18.92
1154.09,19.04
1156.67,18.84
1159.40,18.75
1161.28,18.18
1163.46,19.04
1165.03,19.29
1166.90,19.29
1168.78,18.43
1170.65,19.08
1172.84,18.93
1174.40,18.91
1176.28,18.84
1178.15,18.27
1180.03,18.91
1182.21,19.13
1183.78,19.18
1186.67,18.58
1189.40,18.11
1191.59,19.05
1193.15,19.39
1195.03,19.04
1196.90,18.48
1198.78,18.89
1200.65,19.16
1202.84,19.12
1204.40,18.78
1206.28,18.89
1208.15,19.10
1210.03,19.26
1211.90,18.99
1214.09,19.13
1216.67,18.37
1219.71,18.85
1221.28,19.18
1223.15,19.29
1225.03,19.04
1226.90,18.08
1229.09,18.97
1230.65,18.97
1232.53,18.95
1234.40,18.43
1236.28,19.13
1238.15,19.38
1240.03,19.14
1241.90,18.89
1244.09,18.91
1246.67,19.32
1249.71,19.15
1251.28,18.89
1253.15,18.07
1255.03,19.21
1256.90,19.27
1258.78,19.22
1260.65,18.83
1262.84,19.37
1264.40,19.21
1266.28,19.34
1268.15,18.89
1270.34,18.92
1271.90,19.31
1273.78,19.18
1276.67,19.37
1279.71,19.18
1281.28,18.95
1283.15,19.39
1285.03,19.34
1286.90,19.30
1288.78,18.81
1290.96,19.41
1292.53,19.28
1294.40,19.29
1296.28,19.05
1298.15,19.15
1301.28,19.45
1303.15,19.32
1305.03,18.99
1306.67,18.55
1309.40,19.24
1311.28,19.47
1313.46,19.60
1315.03,18.65
1316.90,19.05
1318.78,19.18
1320.65,19.27
1322.53,18.77
1324.40,19.42
1326.28,19.21
1328.15,18.96
1329.87,18.92
1332.21,18.64
1333.62,19.03
1336.67,19.15
1339.40,19.15
1341.28,18.93
1343.15,19.06
1345.03,19.27
1346.90,19.71
1348.78,19.13
1350.65,18.79
1352.53,19.34
1354.40,19.40
1356.12,19.18
1358.15,18.55
1360.03,19.02
1361.90,19.80
1363.78,19.35
1366.67,19.07
1369.40,18.61
1371.12,19.51
1373.15,19.26
1375.03,19.41
1376.90,19.14
1378.78,19.55
1380.65,19.41
1382.37,19.31
1384.71,18.83
1386.28,19.09
1388.00,19.53
1390.03,19.41
1391.90,19.32
1393.78,18.98
1396.67,19.23
1399.40,20.00
1401.28,19.28
1403.00,19.29
1405.03,19.08
1406.90,19.28
1408.78,19.69
1410.65,19.07
1412.37,19.09
1414.40,19.35
1416.28,20.07
1418.15,19.42
1420.03,19.01
1421.90,18.62
1423.62,19.43
1426.63,19.98
1429.40,19.82
1431.12,19.15
1433.46,19.02
1434.87,19.28
1436.90,19.60
1438.78,19.14
1440.65,18.06
1442.53,19.20
1444.25,19.38
1446.28,19.39
1448.15,18.99
1450.03,19.04
1451.90,19.36
1453.78,19.33
1456.67,19.13
1459.40,18.24
1461.28,19.24
1463.15,19.23
1464.87,19.25
1466.90,19.11
1468.78,19.55
1470.65,19.32
1472.53,19.25
1474.25,18.92
1476.28,19.76
1478.15,20.02
1480.03,19.36
1481.90,19.28
1483.78,19.27
1486.43,19.35
1489.40,19.37
1491.12,19.05
1493.15,18.62
1495.03,19.24
1496.90,19.27
1498.78,19.02
1501.90,19.60
1503.78,20.23
1504.71,19.32
1506.12,18.94
1508.15,18.88
1510.03,19.26
1511.90,19.36
1513.78,18.97
1516.63,18.79
1519.40,19.50
1521.28,19.50
1523.15,19.21
1525.34,19.04
1526.90,19.12
1528.78,19.42
1530.65,19.14
1532.53,19.17
1534.40,19.74
1536.28,19.35
1538.15,19.27
1540.03,19.05
1541.90,19.57
1544.09,19.17
1546.67,19.33
1549.40,18.91
1551.28,19.12
1553.46,19.81
1555.03,19.45
1556.90,18.93
1558.78,19.23
1560.65,20.02
1562.53,19.03
1564.40,19.00
1566.59,19.63
1568.15,19.17
1570.03,19.06
1571.90,18.63
1573.78,19.49
1576.63,19.32
1579.40,19.19
1581.28,18.91
1583.15,20.02
1585.03,19.43
1586.90,18.72
1589.09,18.97
1590.65,19.25
1592.53,19.06
1594.40,19.44
1596.28,19.81
1598.15,20.00
1600.34,19.51
1601.90,19.24
1603.78,19.55
"Ignition Data"
"Number of Pairs",3
"kw/m2,sec,kw/m2 " 
75,10.4,136.4
50,19.7,84.6
35,108.1,52.3
