"PINEX - fibre insulation board, non FR"
"Number of HRR Curves", 1
"Heat Flux",35
"Number of HRR Data Pairs", 777
"sec,kw/m2"
1052.50,27.43
1055.36,27.29
1058.13,27.31
1060.00,27.32
1061.88,27.21
1063.75,27.44
1065.63,27.26
1067.50,27.71
1069.38,27.77
1071.25,27.67
1073.13,27.68
1075.31,27.41
1076.88,27.86
1078.75,27.64
1080.63,27.03
1082.50,27.63
1085.39,27.17
1088.44,27.39
1090.00,27.22
1091.88,27.27
1093.75,27.15
1095.63,27.40
1097.50,27.47
1099.38,26.79
1101.25,27.22
1103.13,26.93
1105.00,27.14
1107.19,27.44
1108.59,27.15
1110.94,27.08
1112.50,26.68
1115.39,26.55
1118.13,26.72
1120.00,26.53
1121.88,26.55
1124.06,26.36
1125.63,25.93
1127.50,25.98
1129.38,26.62
1131.25,26.55
1133.13,26.59
1135.00,26.34
1136.88,25.91
1138.75,25.73
1140.63,25.41
1142.81,25.64
1145.39,25.47
1148.13,25.56
1150.00,25.36
1151.88,25.49
1153.75,25.47
1155.63,25.06
1157.50,25.09
1159.69,24.66
1161.25,24.63
1163.13,24.75
1165.00,25.40
1166.88,25.34
1168.75,25.20
1170.63,25.95
1172.50,25.72
1175.63,25.43
1178.13,25.40
1181.25,25.24
1183.13,25.37
1184.06,25.53
1185.63,25.36
1187.50,25.68
1189.38,24.92
1191.25,24.85
1193.13,24.75
1195.00,25.45
1196.88,25.67
1199.06,25.86
1200.63,25.65
1202.50,26.03
1205.39,25.58
1208.13,25.32
1210.31,25.59
1211.88,25.61
1213.75,24.80
1215.63,24.17
1217.50,24.00
1219.38,24.20
1221.25,23.78
1223.13,24.84
1225.00,24.92
1226.88,24.90
1229.06,24.60
1230.63,24.49
1232.50,24.91
1235.63,25.13
1238.13,24.85
1240.31,24.56
1241.88,24.87
1244.06,25.52
1245.63,25.55
1247.50,24.89
1249.69,24.82
1251.25,24.21
1253.44,24.06
1255.00,24.19
1256.88,24.87
1258.75,24.80
1260.63,24.66
1262.50,24.16
1265.63,24.79
1268.13,24.73
1270.00,24.71
1271.88,24.58
1273.75,24.81
1275.63,24.64
1277.81,24.41
1279.38,23.84
1281.25,23.88
1283.13,23.98
1285.00,24.05
1286.88,23.79
1288.75,24.02
1290.63,23.89
1292.81,24.05
1295.39,23.97
1298.13,24.61
1300.00,24.68
1301.88,24.73
1303.75,23.97
1305.63,23.58
1307.50,23.82
1309.69,24.10
1311.25,24.00
1313.13,24.01
1315.00,24.68
1316.88,24.72
1318.75,24.12
1320.63,24.36
1322.50,23.95
1325.36,23.57
1328.13,22.91
1330.00,23.60
1331.88,23.58
1333.75,23.91
1335.63,23.85
1337.50,24.01
1339.38,24.09
1341.25,23.98
1343.13,24.28
1345.31,23.56
1346.88,23.49
1348.75,22.89
1350.63,22.72
1352.50,22.77
1355.39,23.51
1358.44,22.98
1360.00,22.89
1361.88,23.69
1363.75,23.65
1365.63,23.37
1367.50,22.82
1369.38,22.35
1371.25,22.10
1373.13,22.23
1375.00,22.24
1376.88,22.28
1380.00,22.74
1381.88,22.84
1382.81,22.96
1385.36,23.19
1388.13,22.94
1390.00,22.67
1391.88,22.12
1393.75,21.31
1395.63,21.56
1397.50,21.52
1399.69,21.49
1401.25,21.35
1403.13,21.81
1405.00,21.59
1406.88,21.83
1408.75,21.24
1410.63,20.50
1412.50,20.02
1415.36,20.05
1418.13,20.48
1420.00,20.74
1421.88,21.20
1423.75,21.08
1425.63,20.79
1427.81,20.83
1429.38,19.88
1431.25,19.29
1433.13,19.24
1435.00,19.47
1436.88,19.84
1438.75,19.05
1440.63,19.03
1442.81,19.27
1445.39,19.34
1448.13,18.11
1450.00,17.61
1451.88,17.58
1453.75,17.90
1455.94,17.31
1457.50,17.28
1459.38,17.36
1461.25,17.53
1463.13,16.73
1465.00,15.94
1466.88,15.60
1468.75,15.66
1470.94,15.40
1472.50,15.49
1475.39,15.22
1478.13,15.39
1480.00,15.54
1481.88,15.49
1484.06,14.84
1485.63,14.17
1487.50,14.10
1489.38,13.77
1491.25,14.04
1493.13,14.11
1495.00,14.09
1497.19,14.04
1498.75,13.34
1500.63,12.73
1502.50,12.27
1505.39,12.32
1508.44,12.59
1510.00,12.62
1511.88,12.69
1513.75,12.63
1515.63,12.65
1517.50,12.59
1519.69,12.32
1521.25,12.32
1523.13,11.66
1525.00,11.33
1526.88,11.51
1529.06,11.50
1530.63,11.66
1532.50,11.67
1535.39,11.63
1538.13,11.58
1540.31,11.24
1541.88,10.69
1543.75,10.52
1545.63,10.00
1547.50,10.01
1549.69,10.03
1551.25,0.00
"Ignition Data"
"Number of Pairs",9
"kw/m2,sec,kw/m2 " 
75,3.7,197.2
50,7.9,144.6
35,23.0,121.4
30,37.3,114.5
25,49.1,108.8
20,81.7,109.7
15,213,104.1
12,455.3,105.2
10,996.1,105.4
"Flame Spread Parameter",14
"Min Surface Temp For Spread",393
"Effective Heat of Combustion", 12.3
